cluster_id,size,top_lemmas,distinctive_lemmas,n_gold,gold_labels
0,232,politico; discurso; literatura; literario; critica; lectura; historia; ciencia; palabra; cultura,exoterico; metodologia; defectir; esotericar; estructuralismo; discursivo; cientificidad; analitico; ensenanza; semiologico,23,ana_langpower(8); ana_intelectual(5); ana_literature(4); ana_polcult(4); ana_error(3); ana_history(3); ana_sitio(3); ana_circunstance(2); ana_ideology(2); ana_literary_genre(2); ana_writing(2); ana_humanism(1); ana_paradoxa(1); ana_representacionalism(1); ana_structuralism(1); ana_theory(1); ana_transgression(1); ana_treason(1)
1,257,muerte; silencio; beato; luz; noche; sueno; violencia; familia; fiesta; memorio,beato; rosario; almuerzo; edificio; camion; veredar; velorio; mosca; carnaval; invitacion,0,
2,218,ley; delito; recurso; militar; derecho; constitucional; guerra; politico; sentencia; civil,extraordinario; legislativo; imputado; absolucion; constitucionalidad; defensor; pronunciamiento; inhabilitacion; terrorista; amnistir,0,
3,390,relato; escritura; literatura; novela; literario; historia; narracion; narrador; tiempo; ficcion,genealogia; proyeccion; combinatorio; desdoblamiento; anormal; relato; desasosiego; epilogo; epistolar; fabulacion,6,ana_literature(3); ana_blanchot(1); ana_literary_genre(1); ana_reading(1); ana_resistance(1); ana_rethoric(1); ana_structuralism(1); ana_writing(1)
4,133,vision; tiempo; plenitud; fenomeno; espacio; mental; percepcion; punto; cine; esencia,existir; perplejidad; tentativo; inubicado; buscar; fraccionario; base; congregar; fenomenismo; imaginar,0,
5,211,politico; guerra; argentino; exilio; literatura; discurso; nacional; social; literario; historia,movilizacion; barbaro; britanico; desterrado; estadounidense; territorialidad; territorial; derrota; dictadura; patriotismo,0,
6,132,vida; alma; muerte; piel; profecir; batalla; dolor; hombre; hueso; amor,profecir; batalla; hueso; piel; vida; alma; dolor; hombre; muerte,0,
7,370,cristiano; divino; hijo; muerte; judio; pueblo; edad; humano; pobre; verbo,viernes; profecia; misericordia; abad; abominacion; beatifico; cajuela; posteridad; suplicio; viviente,0,
8,191,traduccion; literatura; lengua; literario; texto; lectura; palabra; lenguaje; obra; escritura,idiomatico; pornografico; confiscacion; grafico; traduccion; sinceridad; traducir; artistico; filologico; italiano,1,ana_treason(1); ana_writing(1)
9,124,poesia; poetico; poema; lugar; blanco; erotico; palabra; poeta; vacio; apartamiento,poeticidad; polivalencia; solipsismo; corifeo; indicio; colmatacion; modernismo; poetizar; poesia; poetico,1,ana_langpower(1); ana_nietzsche(1)
10,154,obediencia; orden; responsabilidad; militar; debido; superior; subordinado; derecho; delito; penal,subordinado; antijuridico; delictivo; decisorio; obediencia; desobediencia; obedecer; punibilidad; mandato; ilicitud,0,
11,148,azul; extranjero; noche; alma; poesia; aurora; ocaso; muerte; espiritu; ano,peregrinar; estrellado; azul; venado; estanque; asalto; corrompido; declinar; ninez; atardecer,0,
12,285,cuerpo; muerte; palabra; escritura; lenguaje; alma; amor; humano; sentido; genero,anamorfosis; devorador; especularidad; hiperbolica; varon; anagrama; feminizacion; marica; excentricidad; humorismo,8,ana_langpower(4); ana_sitio(2); ana_circunstance(1); ana_error(1); ana_ideology(1); ana_intelectual(1); ana_psychoanalysis(1); ana_writing(1)
13,249,cuerpo; muerte; piel; reloj; sueno; muneca; sangre; tiempo; memorio; sol,pulpo; seda; arena; muneca; jazmin; pelo; camafeo; cinta; comprimido; doncella,0,
14,189,judio; dinero; antisemitismo; politico; cuestion; sociedad; historia; catolico; noble; raza,banquero; antisemitismo; financista; antisemitar; industrial; quiebra; gueto; interaccional; mason; pogromos,0,
15,193,angustiar; vida; dolor; muerte; sueno; voluntad; jardin; liberacion; libertad; sol,hipnotico; hipnotismo; convulsion; opaco; pasaporte; pabellon; enfermera; inyeccion; aljibir; lecho,0,
